SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
13365,13366,4085,NY-00130,COPIAGUE,11702,SUFFOLK,NY,"217,787.00","145,637.00","72,150.00","545,700.00","145,700.00","72,100.00","327,900.00"
13365,13366,4085,NY-00130,COPIAGUE,11726,SUFFOLK,NY,"1,412,884.00","622,874.00","790,010.00","846,000.00","172,400.00","479,800.00","193,800.00"
13365,13366,4085,NY-00130,CORAM,11727,SUFFOLK,NY,"32,866.00","32,866.00",0.00,"32,200.00","32,200.00",0.00,0.00
13365,13366,4085,NY-00130,CORNEILLE ESTATES,11782,SUFFOLK,NY,"109,116.00","100,216.00","8,900.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,CORONA,11368,QUEENS,NY,"138,040.00","138,040.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,CUTCHOGUE,11215,SUFFOLK,NY,"76,442.00","74,942.00","1,500.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,CUTCHOGUE,11935,SUFFOLK,NY,0.00,0.00,0.00,"29,600.00",0.00,0.00,"29,600.00"
13365,13366,4085,NY-00130,DAVIS PARK,11772,SUFFOLK,NY,"370,105.00","343,875.00","26,230.00","104,900.00","73,100.00","25,500.00","6,300.00"
13365,13366,4085,NY-00130,DEER PARK,11729,SUFFOLK,NY,"191,524.00","144,642.00","46,882.00","132,500.00",0.00,"16,300.00","116,200.00"
13365,13366,4085,NY-00130,DIX HILLS,11746,SUFFOLK,NY,"83,350.00",0.00,"83,350.00","103,400.00",0.00,"83,400.00","20,000.00"
13365,13366,4085,NY-00130,E SETAUKET,11733,SUFFOLK,NY,"50,954.00","50,404.00",550.00,"51,000.00","50,500.00",500.00,0.00
13365,13366,4085,NY-00130,E. ATLANTIC BEACH,11561,NASSAU,NY,"52,254.00","51,304.00",950.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,EAST ATLANTIC BEACH,11510,NASSAU,NY,"60,662.00","50,362.00","10,300.00","42,600.00","32,500.00","5,300.00","4,800.00"
13365,13366,4085,NY-00130,EAST ATLANTIC BEACH,11561,NASSAU,NY,"730,880.00","620,730.00","110,150.00","271,200.00","208,100.00","50,300.00","12,800.00"
13365,13366,4085,NY-00130,EAST ELMHURST,11369,QUEENS,NY,"13,195.00","13,195.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,EAST ELMHURST,11370,QUEENS,NY,"19,660.00",0.00,"19,660.00","293,600.00",0.00,"2,700.00","290,900.00"
13365,13366,4085,NY-00130,EAST HAMPTON,11937,SUFFOLK,NY,"46,772.00","40,767.00","6,005.00","30,100.00","24,100.00","6,000.00",0.00
13365,13366,4085,NY-00130,EAST ISLIP,11730,SUFFOLK,NY,0.00,0.00,0.00,"41,200.00",0.00,0.00,"41,200.00"
13365,13366,4085,NY-00130,EAST MARION,11939,SUFFOLK,NY,"155,459.00","136,234.00","19,225.00","155,500.00","136,300.00","19,200.00",0.00
13365,13366,4085,NY-00130,EAST MEADOW,11554,NASSAU,NY,"11,440.00",725.00,"10,715.00","5,200.00",0.00,"5,200.00",0.00
13365,13366,4085,NY-00130,EAST MORICHES,11940,SUFFOLK,NY,"646,920.00","150,128.00","496,792.00","225,500.00","58,400.00","167,100.00",0.00
13365,13366,4085,NY-00130,EAST NORTHPORT,11731,SUFFOLK,NY,"9,442.00",0.00,"9,442.00","138,800.00",0.00,0.00,"138,800.00"
13365,13366,4085,NY-00130,EAST PATCHOGUE,11772,SUFFOLK,NY,"436,387.00","124,013.00","312,374.00","61,600.00",0.00,"36,500.00","25,100.00"
13365,13366,4085,NY-00130,EAST QUOGUE,11942,SUFFOLK,NY,"9,473.00",0.00,"9,473.00","10,000.00",0.00,0.00,"10,000.00"
13365,13366,4085,NY-00130,EAST QUOUGE,11942,SUFFOLK,NY,"8,577.00","8,077.00",500.00,"34,300.00","8,100.00",500.00,"25,700.00"
13365,13366,4085,NY-00130,EAST ROCKAWAY,11518,NASSAU,NY,"8,291,352.00","6,349,522.00","1,941,830.00","1,640,000.00","1,169,700.00","261,900.00","208,400.00"
13365,13366,4085,NY-00130,EASTPORT,11941,SUFFOLK,NY,"2,935.00","2,935.00",0.00,"1,600.00",0.00,0.00,"1,600.00"
13365,13366,4085,NY-00130,EDGEMERE,11691,QUEENS,NY,"3,316,985.00","2,732,862.00","584,123.00","2,000,000.00","2,000,000.00",0.00,0.00
13365,13366,4085,NY-00130,ELMHURST,11373,QUEENS,NY,"17,308.00","9,788.00","7,520.00",0.00,0.00,0.00,0.00
